Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split,gender
Collis BIRMINGHAM,5000m Men,British Grand Prix,2015,Diamond League,816.2,7,,,16.0,31.0,,,153.6,312.3,470.3,631.6,0
Zane ROBERTSON,5000m Men,British Grand Prix,2015,Diamond League,820.9,8,,,16.0,31.0,,,153.6,312.3,470.3,631.6,0
Andy VERNON,5000m Men,British Grand Prix,2015,Diamond League,828.8,9,,,16.0,31.0,,,153.6,312.3,470.3,631.6,0
Jonathan MELLOR,5000m Men,British Grand Prix,2015,Diamond League,849.1,10,,,16.0,31.0,,,153.6,312.3,470.3,631.6,0
Luke CALDWELL,5000m Men,British Grand Prix,2015,Diamond League,867.3,11,,,16.0,31.0,,,153.6,312.3,470.3,631.6,0
Kevin BATT,5000m Men,British Grand Prix,2015,Diamond League,871.3,12,,,16.0,31.0,,,153.6,312.3,470.3,631.6,0
Yomif KEJELCHA,5000m Men,Memorial Van Damme,2015,Diamond League,774.0,1,,,15.0,82.0,,WL,155.7,311.6,467.9,623.0,0
Hagos GEBRHIWET,5000m Men,Memorial Van Damme,2015,Diamond League,774.7,2,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Abdelaati IGUIDER,5000m Men,Memorial Van Damme,2015,Diamond League,779.2,3,,,15.0,82.0,,PB,155.7,311.6,467.9,623.0,0
Thomas Pkemei LONGOSIWA,5000m Men,Memorial Van Damme,2015,Diamond League,779.7,4,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Caleb Mwangangi NDIKU,5000m Men,Memorial Van Damme,2015,Diamond League,785.3,5,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Yenew ALAMIREW,5000m Men,Memorial Van Damme,2015,Diamond League,785.5,6,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Ben TRUE,5000m Men,Memorial Van Damme,2015,Diamond League,785.5,7,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Ryan HILL,5000m Men,Memorial Van Damme,2015,Diamond League,785.7,8,,,15.0,82.0,,PB,155.7,311.6,467.9,623.0,0
Paul Kipsiele KOECH,5000m Men,Memorial Van Damme,2015,Diamond League,787.7,9,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Galen RUPP,5000m Men,Memorial Van Damme,2015,Diamond League,788.4,10,,,15.0,82.0,,SB,155.7,311.6,467.9,623.0,0
Emmanuel KIPSANG,5000m Men,Memorial Van Damme,2015,Diamond League,788.5,11,,,15.0,82.0,,PB,155.7,311.6,467.9,623.0,0
Mohammed AHMED,5000m Men,Memorial Van Damme,2015,Diamond League,790.0,12,,,15.0,82.0,,NR,155.7,311.6,467.9,623.0,0
Yasin HAJI,5000m Men,Memorial Van Damme,2015,Diamond League,790.7,13,,,15.0,82.0,,PB,155.7,311.6,467.9,623.0,0
Isiah Kiplangat KOECH,5000m Men,Memorial Van Damme,2015,Diamond League,802.3,14,,,15.0,82.0,,,155.7,311.6,467.9,623.0,0
Othmane EL GOUMRI,5000m Men,Memorial Van Damme,2015,Diamond League,804.7,15,,,15.0,82.0,,,155.7,311.6,467.9,623.0,0
Chris DERRICK,5000m Men,Memorial Van Damme,2015,Diamond League,805.2,16,,,15.0,82.0,,,155.7,311.6,467.9,623.0,0
Brett ROBINSON,5000m Men,Memorial Van Damme,2015,Diamond League,832.4,17,,,15.0,82.0,,,155.7,311.6,467.9,623.0,0
Mohamed FARAH,5000m Men,Athletissima,2015,Diamond League,791.8,1,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Yomif KEJELCHA,5000m Men,Athletissima,2015,Diamond League,792.6,2,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Edwin Cheruiyot SOI,5000m Men,Athletissima,2015,Diamond League,797.2,3,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Yasin HAJI,5000m Men,Athletissima,2015,Diamond League,798.2,4,,,24.0,34.0,,PB,157.8,316.3,482.7,642.0,0
Muktar EDRIS,5000m Men,Athletissima,2015,Diamond League,799.2,5,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Bitan KAROKI,5000m Men,Athletissima,2015,Diamond League,801.3,6,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Aweke AYALEW,5000m Men,Athletissima,2015,Diamond League,801.7,7,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Yenew ALAMIREW,5000m Men,Athletissima,2015,Diamond League,802.7,8,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Abdelaati IGUIDER,5000m Men,Athletissima,2015,Diamond League,805.1,10,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Caleb Mwangangi NDIKU,5000m Men,Athletissima,2015,Diamond League,812.4,11,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Imane MERGA,5000m Men,Athletissima,2015,Diamond League,813.0,12,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Hassan MEAD,5000m Men,Athletissima,2015,Diamond League,817.3,13,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Moses Ndiema KIPSIRO,5000m Men,Athletissima,2015,Diamond League,824.5,14,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Andy VERNON,5000m Men,Athletissima,2015,Diamond League,828.0,15,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Youssouf HISS BACHIR,5000m Men,Athletissima,2015,Diamond League,836.5,16,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Elroy GELANT,5000m Men,Athletissima,2015,Diamond League,844.7,17,,,24.0,34.0,,,157.8,316.3,482.7,642.0,0
Mercy CHERONO,5000m Women,London Athletics Meet,2015,Diamond League,894.8,1,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Molly HUDDLE,5000m Women,London Athletics Meet,2015,Diamond League,897.4,2,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Janet KISA,5000m Women,London Athletics Meet,2015,Diamond League,910.7,3,,,20.0,46.0,,SB,179.0,358.8,542.5,724.5,1
Marielle HALL,5000m Women,London Athletics Meet,2015,Diamond League,920.0,4,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Haftamnesh TESFAYE,5000m Women,London Athletics Meet,2015,Diamond League,920.5,5,,,20.0,46.0,,PB,179.0,358.8,542.5,724.5,1
Emily SISSON,5000m Women,London Athletics Meet,2015,Diamond League,927.3,6,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Rhona AUCKLAND,5000m Women,London Athletics Meet,2015,Diamond League,927.6,7,,,20.0,46.0,,PB,179.0,358.8,542.5,724.5,1
Kate AVERY,5000m Women,London Athletics Meet,2015,Diamond League,927.9,8,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Liv WESTPHAL,5000m Women,London Athletics Meet,2015,Diamond League,928.7,9,,,20.0,46.0,,PB,179.0,358.8,542.5,724.5,1
Jessica COULSON,5000m Women,London Athletics Meet,2015,Diamond League,929.5,10,,,20.0,46.0,,PB,179.0,358.8,542.5,724.5,1
Mary Teresa CULLEN,5000m Women,London Athletics Meet,2015,Diamond League,932.8,11,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Dominika NOWAKOWSKA,5000m Women,London Athletics Meet,2015,Diamond League,935.0,12,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Beth POTTER,5000m Women,London Athletics Meet,2015,Diamond League,936.5,13,,,20.0,46.0,,PB,179.0,358.8,542.5,724.5,1
Laura WHITTLE,5000m Women,London Athletics Meet,2015,Diamond League,944.9,14,,,20.0,46.0,,,179.0,358.8,542.5,724.5,1
Ben TRUE,5000m Men,Adidas Grand Prix,2015,Diamond League,809.5,1,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Nick WILLIS,5000m Men,Adidas Grand Prix,2015,Diamond League,809.8,2,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Nguse AMLOSOM,5000m Men,Adidas Grand Prix,2015,Diamond League,810.2,3,,,26.0,51.0,,PB,159.6,323.5,492.1,657.5,0
Thomas Pkemei LONGOSIWA,5000m Men,Adidas Grand Prix,2015,Diamond League,810.3,4,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Moses Ndiema KIPSIRO,5000m Men,Adidas Grand Prix,2015,Diamond League,811.4,5,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Arne GABIUS,5000m Men,Adidas Grand Prix,2015,Diamond League,812.7,6,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Nixon Kiplimo CHEPSEBA,5000m Men,Adidas Grand Prix,2015,Diamond League,816.3,7,,,26.0,51.0,,SB,159.6,323.5,492.1,657.5,0
Antonio ABADÃA BECI,5000m Men,Adidas Grand Prix,2015,Diamond League,824.9,8,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Frederick Kipkosgei KIPTOO,5000m Men,Adidas Grand Prix,2015,Diamond League,847.7,9,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Meresa KAHSAY,5000m Men,Adidas Grand Prix,2015,Diamond League,851.2,10,,,26.0,51.0,,,159.6,323.5,492.1,657.5,0
Genzebe DIBABA,5000m Women,Bislett Games,2015,Diamond League,861.3,1,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Senbere TEFERI,5000m Women,Bislett Games,2015,Diamond League,878.6,2,,,20.0,26.0,,PB,170.9,345.8,519.4,691.7,1
Viola Jelagat KIBIWOT,5000m Women,Bislett Games,2015,Diamond League,880.4,3,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Gelete BURKA,5000m Women,Bislett Games,2015,Diamond League,881.6,4,,,20.0,26.0,,SB,170.9,345.8,519.4,691.7,1
Irine Chebet CHEPTAI,5000m Women,Bislett Games,2015,Diamond League,903.8,5,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Susan KUIJKEN,5000m Women,Bislett Games,2015,Diamond League,907.4,6,,,20.0,26.0,,SB,170.9,345.8,519.4,691.7,1
Karoline Bjerkeli GRÃ˜VDAL,5000m Women,Bislett Games,2015,Diamond League,915.2,7,,,20.0,26.0,,PB,170.9,345.8,519.4,691.7,1
Magdalene MASAI,5000m Women,Bislett Games,2015,Diamond League,916.2,8,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Jessica O'CONNELL,5000m Women,Bislett Games,2015,Diamond League,919.9,9,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Stephanie TWELL,5000m Women,Bislett Games,2015,Diamond League,921.4,10,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Alisha WILLIAMS,5000m Women,Bislett Games,2015,Diamond League,943.5,11,,,20.0,26.0,,,170.9,345.8,519.4,691.7,1
Mimi BELETE,5000m Women,Bislett Games,2015,Diamond League,945.1,12,,,20.0,26.0,,SB,170.9,345.8,519.4,691.7,1
Genzebe DIBABA,5000m Women,Meeting de Paris,2015,Diamond League,855.4,1,,,32.0,39.0,,MR,174.1,339.0,516.2,688.3,1
Almaz AYANA,5000m Women,Meeting de Paris,2015,Diamond League,862.0,2,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Mercy CHERONO,5000m Women,Meeting de Paris,2015,Diamond League,874.1,3,,,32.0,39.0,,PB,174.1,339.0,516.2,688.3,1
Viola Jelagat KIBIWOT,5000m Women,Meeting de Paris,2015,Diamond League,874.2,4,,,32.0,39.0,,SB,174.1,339.0,516.2,688.3,1
Senbere TEFERI,5000m Women,Meeting de Paris,2015,Diamond League,876.4,5,,,32.0,39.0,,PB,174.1,339.0,516.2,688.3,1
Gelete BURKA,5000m Women,Meeting de Paris,2015,Diamond League,880.5,6,,,32.0,39.0,,SB,174.1,339.0,516.2,688.3,1
Faith KIPYEGON,5000m Women,Meeting de Paris,2015,Diamond League,884.5,7,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Alemitu HAROYE,5000m Women,Meeting de Paris,2015,Diamond League,885.0,8,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Belaynesh OLJIRA,5000m Women,Meeting de Paris,2015,Diamond League,905.2,9,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Betsy SAINA,5000m Women,Meeting de Paris,2015,Diamond League,907.9,10,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Karoline Bjerkeli GRÃ˜VDAL,5000m Women,Meeting de Paris,2015,Diamond League,915.5,11,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Azemra GEBRU,5000m Women,Meeting de Paris,2015,Diamond League,915.8,12,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Netsanet GUDETA,5000m Women,Meeting de Paris,2015,Diamond League,931.2,13,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Alia SAEED MOHAMMED,5000m Women,Meeting de Paris,2015,Diamond League,943.2,14,,,32.0,39.0,,,174.1,339.0,516.2,688.3,1
Yomif KEJELCHA,5000m Men,Golden Gala,2015,Diamond League,778.4,1,,,26.0,47.0,,WL,154.3,308.8,466.8,626.3,0
Paul Kipngetich TANUI,5000m Men,Golden Gala,2015,Diamond League,778.7,2,,,26.0,47.0,,PB,154.3,308.8,466.8,626.3,0
Hagos GEBRHIWET,5000m Men,Golden Gala,2015,Diamond League,778.7,3,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Imane MERGA,5000m Men,Golden Gala,2015,Diamond League,779.0,4,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Thomas Pkemei LONGOSIWA,5000m Men,Golden Gala,2015,Diamond League,779.8,5,,,26.0,47.0,,SB,154.3,308.8,466.8,626.3,0
Muktar EDRIS,5000m Men,Golden Gala,2015,Diamond League,780.3,6,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Ali KAYA,5000m Men,Golden Gala,2015,Diamond League,780.3,7,,,26.0,47.0,,NR,154.3,308.8,466.8,626.3,0
Dejen GEBREMESKEL,5000m Men,Golden Gala,2015,Diamond League,780.5,8,,,26.0,47.0,,SB,154.3,308.8,466.8,626.3,0
Ilias FIFA,5000m Men,Golden Gala,2015,Diamond League,785.6,9,,,26.0,47.0,,PB,154.3,308.8,466.8,626.3,0
Isiah Kiplangat KOECH,5000m Men,Golden Gala,2015,Diamond League,787.3,10,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Aweke AYALEW,5000m Men,Golden Gala,2015,Diamond League,799.8,11,,,26.0,47.0,,SB,154.3,308.8,466.8,626.3,0
Yenew ALAMIREW,5000m Men,Golden Gala,2015,Diamond League,802.5,12,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
JesÃºs ESPAÃ‘A,5000m Men,Golden Gala,2015,Diamond League,802.9,13,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Antonio ABADÃA BECI,5000m Men,Golden Gala,2015,Diamond League,808.4,14,,,26.0,47.0,,PB,154.3,308.8,466.8,626.3,0
Richard RINGER,5000m Men,Golden Gala,2015,Diamond League,828.2,15,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Sindre BURAAS,5000m Men,Golden Gala,2015,Diamond League,835.5,16,,,26.0,47.0,,,154.3,308.8,466.8,626.3,0
Almaz AYANA,5000m Women,Diamond League Shanghai,2015,Diamond League,854.3,1,,,21.0,60.0,,DLR|WL|MR,173.8,348.7,516.5,686.7,1
Viola Jelagat KIBIWOT,5000m Women,Diamond League Shanghai,2015,Diamond League,880.3,2,,,21.0,60.0,,,173.8,348.7,516.5,686.7,1
Senbere TEFERI,5000m Women,Diamond League Shanghai,2015,Diamond League,882.0,3,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Alemitu HAROYE,5000m Women,Diamond League Shanghai,2015,Diamond League,883.3,4,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Irene JELAGAT,5000m Women,Diamond League Shanghai,2015,Diamond League,895.5,5,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Irine Chebet CHEPTAI,5000m Women,Diamond League Shanghai,2015,Diamond League,898.4,6,,,21.0,60.0,,,173.8,348.7,516.5,686.7,1
Magdalene MASAI,5000m Women,Diamond League Shanghai,2015,Diamond League,898.5,7,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Perine NENGAMPI,5000m Women,Diamond League Shanghai,2015,Diamond League,908.4,8,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Gelete BURKA,5000m Women,Diamond League Shanghai,2015,Diamond League,914.4,9,,,21.0,60.0,,,173.8,348.7,516.5,686.7,1
Birtukan Fente ALEMU,5000m Women,Diamond League Shanghai,2015,Diamond League,916.7,10,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Alemitu HAWI,5000m Women,Diamond League Shanghai,2015,Diamond League,917.5,11,,,21.0,60.0,,,173.8,348.7,516.5,686.7,1
Stella CHESANG,5000m Women,Diamond League Shanghai,2015,Diamond League,925.0,12,,,21.0,60.0,,PB,173.8,348.7,516.5,686.7,1
Dera DIDA,5000m Women,Diamond League Shanghai,2015,Diamond League,938.9,13,,,21.0,60.0,,,173.8,348.7,516.5,686.7,1
Changqin DING,5000m Women,Diamond League Shanghai,2015,Diamond League,941.3,14,,,21.0,60.0,,SB,173.8,348.7,516.5,686.7,1
Vivian Jepkemoi CHERUIYOT,5000m Women,British Grand Prix,2016,Diamond League,912.8,1,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Mercy CHERONO,5000m Women,British Grand Prix,2016,Diamond League,912.9,2,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Janet KISA,5000m Women,British Grand Prix,2016,Diamond League,919.5,3,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Haftamnesh TESFAYE,5000m Women,British Grand Prix,2016,Diamond League,924.0,4,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Eloise WELLINGS,5000m Women,British Grand Prix,2016,Diamond League,926.2,5,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Genevieve LACAZE,5000m Women,British Grand Prix,2016,Diamond League,927.1,6,,,23.0,58.0,,PB,180.6,372.0,556.8,745.7,1
Birtukan Fente ALEMU,5000m Women,British Grand Prix,2016,Diamond League,939.6,7,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Dominika NAPIERAJ,5000m Women,British Grand Prix,2016,Diamond League,941.5,8,,,23.0,58.0,,PB,180.6,372.0,556.8,745.7,1
Jessica ANDREWS,5000m Women,British Grand Prix,2016,Diamond League,946.8,9,,,23.0,58.0,,PB,180.6,372.0,556.8,745.7,1
Joanne PAVEY,5000m Women,British Grand Prix,2016,Diamond League,947.6,10,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Deirdre BYRNE,5000m Women,British Grand Prix,2016,Diamond League,958.7,11,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Emma CLAYTON,5000m Women,British Grand Prix,2016,Diamond League,967.5,12,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Camille BUSCOMB,5000m Women,British Grand Prix,2016,Diamond League,971.2,13,,,23.0,58.0,,,180.6,372.0,556.8,745.7,1
Mohamed FARAH,5000m Men,London Athletics Meet,2016,Diamond League,779.3,1,,,26.0,39.0,,WL,156.6,314.9,472.7,629.4,0
Andrew BUTCHART,5000m Men,London Athletics Meet,2016,Diamond League,794.9,2,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Bernard LAGAT,5000m Men,London Athletics Meet,2016,Diamond League,795.0,3,,,26.0,39.0,,SB,156.6,314.9,472.7,629.4,0
Isiah Kiplangat KOECH,5000m Men,London Athletics Meet,2016,Diamond League,795.4,4,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Ryan HILL,5000m Men,London Athletics Meet,2016,Diamond League,795.6,5,,,26.0,39.0,,SB,156.6,314.9,472.7,629.4,0
Ben TRUE,5000m Men,London Athletics Meet,2016,Diamond League,796.6,6,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Bashir ABDI,5000m Men,London Athletics Meet,2016,Diamond League,799.2,7,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Paul Kipsiele KOECH,5000m Men,London Athletics Meet,2016,Diamond League,803.1,8,,,26.0,39.0,,SB,156.6,314.9,472.7,629.4,0
Stephen MOKOKA,5000m Men,London Athletics Meet,2016,Diamond League,803.7,9,,,26.0,39.0,,SB,156.6,314.9,472.7,629.4,0
Cyrus RUTTO,5000m Men,London Athletics Meet,2016,Diamond League,803.8,10,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Eric JENKINS,5000m Men,London Athletics Meet,2016,Diamond League,804.3,11,,,26.0,39.0,,SB,156.6,314.9,472.7,629.4,0
Bethwell BIRGEN,5000m Men,London Athletics Meet,2016,Diamond League,807.8,12,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Edwin Cheruiyot SOI,5000m Men,London Athletics Meet,2016,Diamond League,814.0,13,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Thomas FARRELL,5000m Men,London Athletics Meet,2016,Diamond League,830.1,14,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Ross MILLINGTON,5000m Men,London Athletics Meet,2016,Diamond League,839.7,15,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Tetsuya YOROIZAKA,5000m Men,London Athletics Meet,2016,Diamond League,854.9,16,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Rob MULLETT,5000m Men,London Athletics Meet,2016,Diamond League,865.9,17,,,26.0,39.0,,,156.6,314.9,472.7,629.4,0
Hagos GEBRHIWET,5000m Men,Bislett Games,2016,Diamond League,787.7,1,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Muktar EDRIS,5000m Men,Bislett Games,2016,Diamond League,788.1,2,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Yomif KEJELCHA,5000m Men,Bislett Games,2016,Diamond League,788.3,3,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Abdelaati IGUIDER,5000m Men,Bislett Games,2016,Diamond League,788.6,4,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Isiah Kiplangat KOECH,5000m Men,Bislett Games,2016,Diamond League,790.2,5,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Dejen GEBREMESKEL,5000m Men,Bislett Games,2016,Diamond League,790.7,6,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Abadi EMBAYE,5000m Men,Bislett Games,2016,Diamond League,791.4,7,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Hayle IBRAHIMOV,5000m Men,Bislett Games,2016,Diamond League,793.9,8,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Thomas Pkemei LONGOSIWA,5000m Men,Bislett Games,2016,Diamond League,794.5,9,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Yenew ALAMIREW,5000m Men,Bislett Games,2016,Diamond League,797.0,10,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Edwin Cheruiyot SOI,5000m Men,Bislett Games,2016,Diamond League,803.2,11,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Dejene DEBELA,5000m Men,Bislett Games,2016,Diamond League,807.4,12,,,16.0,39.0,,SB,160.1,320.3,482.9,643.8,0
Aweke AYALEW,5000m Men,Bislett Games,2016,Diamond League,808.1,13,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Brett ROBINSON,5000m Men,Bislett Games,2016,Diamond League,824.5,14,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Sindre BURAAS,5000m Men,Bislett Games,2016,Diamond League,832.2,15,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Awet Kibrab NFTALEM,5000m Men,Bislett Games,2016,Diamond League,839.7,16,,,16.0,39.0,,,160.1,320.3,482.9,643.8,0
Almaz AYANA,5000m Women,Rabat Diamond League,2016,Diamond League,856.3,1,,,21.0,66.0,,WL|MR,170.1,340.5,512.3,686.2,1
Viola Jelagat KIBIWOT,5000m Women,Rabat Diamond League,2016,Diamond League,869.5,2,,,21.0,66.0,,PB,170.1,340.5,512.3,686.2,1
Senbere TEFERI,5000m Women,Rabat Diamond League,2016,Diamond League,875.1,3,,,21.0,66.0,,PB,170.1,340.5,512.3,686.2,1
Janet KISA,5000m Women,Rabat Diamond League,2016,Diamond League,878.7,4,,,21.0,66.0,,PB,170.1,340.5,512.3,686.2,1
Ababel YESHANEH,5000m Women,Rabat Diamond League,2016,Diamond League,881.6,5,,,21.0,66.0,,PB,170.1,340.5,512.3,686.2,1
Alemitu HAROYE,5000m Women,Rabat Diamond League,2016,Diamond League,883.6,6,,,21.0,66.0,,,170.1,340.5,512.3,686.2,1
Meraf BAHTA,5000m Women,Rabat Diamond League,2016,Diamond League,890.0,7,,,21.0,66.0,,NR,170.1,340.5,512.3,686.2,1
Sentayehu LEWETEGN,5000m Women,Rabat Diamond League,2016,Diamond League,906.5,8,,,21.0,66.0,,PB,170.1,340.5,512.3,686.2,1
Sviatlana KUDZELICH,5000m Women,Rabat Diamond League,2016,Diamond League,950.6,9,,,21.0,66.0,,PB,170.1,340.5,512.3,686.2,1
Almaz AYANA,5000m Women,Golden Gala,2016,Diamond League,852.6,1,,,19.0,77.0,,DLR|WL|MR,170.7,341.6,510.4,683.6,1
Mercy CHERONO,5000m Women,Golden Gala,2016,Diamond League,873.9,2,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Viola Jelagat KIBIWOT,5000m Women,Golden Gala,2016,Diamond League,874.4,3,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Senbere TEFERI,5000m Women,Golden Gala,2016,Diamond League,877.2,4,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Etenesh DIRO NEDA,5000m Women,Golden Gala,2016,Diamond League,877.5,5,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Yasemin CAN,5000m Women,Golden Gala,2016,Diamond League,877.6,6,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Janet KISA,5000m Women,Golden Gala,2016,Diamond League,882.6,7,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Dera DIDA,5000m Women,Golden Gala,2016,Diamond League,882.8,8,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Genet YALEW,5000m Women,Golden Gala,2016,Diamond League,891.0,9,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Karoline Bjerkeli GRÃ˜VDAL,5000m Women,Golden Gala,2016,Diamond League,897.8,10,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Stephanie TWELL,5000m Women,Golden Gala,2016,Diamond League,899.0,11,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Gelete BURKA,5000m Women,Golden Gala,2016,Diamond League,899.8,12,,,19.0,77.0,,SB,170.7,341.6,510.4,683.6,1
Gotytom GEBRESLASE,5000m Women,Golden Gala,2016,Diamond League,900.2,13,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Letesenbet GIDEY,5000m Women,Golden Gala,2016,Diamond League,909.5,14,,,19.0,77.0,,,170.7,341.6,510.4,683.6,1
Juliet CHEKWEL,5000m Women,Golden Gala,2016,Diamond League,920.2,15,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Meryem AKDA,5000m Women,Golden Gala,2016,Diamond League,924.6,16,,,19.0,77.0,,PB,170.7,341.6,510.4,683.6,1
Muktar EDRIS,5000m Men,Diamond League Shanghai,2016,Diamond League,780.0,1,,,22.0,78.0,,WL|MR,159.2,315.2,476.1,630.8,0
Joshua CHEPTEGEI,5000m Men,Diamond League Shanghai,2016,Diamond League,780.6,2,,,22.0,78.0,,PB,159.2,315.2,476.1,630.8,0
Thomas Pkemei LONGOSIWA,5000m Men,Diamond League Shanghai,2016,Diamond League,781.7,3,,,22.0,78.0,,SB,159.2,315.2,476.1,630.8,0
