1500_finish_s,3000_finish_s,5000_finish_s
211.13,454.94,2377.0
211.14,454.96,2381.0
211.15,454.96,2384.0
211.16,454.97,2385.0
211.16,454.98,2387.0
211.16,454.98,2387.0
211.17,454.99,2426.0
211.17,454.99,2431.0
211.17,455.0,2434.0
211.17,455.0,2445.0
211.17,455.01,2454.0
211.18,455.02,2465.0
211.18,455.04,2511.0
211.18,455.06,2518.0
211.18,455.06,2535.0
211.19,455.06,2542.0
211.19,455.06,2563.0
211.19,455.08,2568.0
211.19,455.08,2577.0
211.2,455.1,2580.0
211.2,455.11,2621.0
211.2,455.12,2654.0
211.2,455.13,2663.0
211.2,455.14,2680.0
211.21,455.15,2680.0
211.21,455.16,2701.0
211.21,455.18,2711.0
211.22,455.18,2716.0
211.22,455.2,2730.0
211.22,455.2,2751.0
211.23,455.22,2761.0
211.23,455.23,2764.0
211.24,455.23,2797.0
211.24,455.24,2805.0
211.24,455.28,2809.0
211.24,455.28,2821.0
211.25,455.3,2894.0
211.25,455.32,2907.0
211.25,455.33,2908.0
211.28,455.34,2927.0
211.28,455.35,2965.0
211.29,455.35,2967.0
211.3,455.41,2979.0
211.3,455.41,2986.0
211.3,455.41,2987.0
211.3,455.43,2997.0
211.32,455.43,2998.0
211.32,455.44,3037.0
211.32,455.44,3064.0
211.33,455.44,3094.0
211.33,455.45,3097.0
211.33,455.46,3104.0
211.34,455.46,3122.0
211.34,455.47,3124.0
211.34,455.5,3133.0
211.34,455.5,3135.0
211.34,455.51,3137.0
211.34,455.52,3138.0
211.34,455.53,3140.0
211.35,455.53,3148.0
211.35,455.53,3148.0
211.36,455.56,3154.0
211.36,455.57,3159.0
211.36,455.6,3166.0
211.36,455.6,3226.0
211.37,455.61,3279.0
211.37,455.61,3282.0
211.38,455.61,3284.0
211.38,455.61,3284.0
211.38,455.61,3297.0
211.38,455.62,3312.0
211.39,455.63,3312.0
211.39,455.64,3332.0
211.39,455.65,3347.0
211.4,455.66,3348.0
211.4,455.66,3396.0
211.4,455.68,3402.0
211.4,455.68,3404.0
211.41,455.69,3408.0
211.42,455.69,3788.0
211.42,455.71,1366.0
211.42,455.71,1700.0
211.43,455.72,1738.0
211.43,455.73,1785.0
211.44,455.77,1826.0
211.44,455.78,1828.0
211.44,455.79,1895.0
211.45,455.8,1913.0
211.45,455.8,2499.0
211.45,455.8,2604.0
211.45,455.81,2795.0
211.45,455.82,3257.0
211.46,455.83,3389.0
211.46,455.84,1366.0
211.46,455.84,1700.0
211.46,455.84,1738.0
211.47,455.87,1785.0
211.47,455.88,1826.0
211.48,455.9,1828.0
211.48,455.91,1895.0
211.48,455.91,1913.0
211.48,455.91,2499.0
211.48,455.92,2604.0
211.48,455.92,2795.0
211.48,455.94,3257.0
211.49,455.95,3389.0
211.49,455.96,1913.0
211.49,455.97,1826.0
211.49,455.98,1895.0
211.49,455.99,1366.0
211.49,456.02,1828.0
211.51,456.02,1738.0
211.51,456.04,3389.0
211.51,456.05,1785.0
211.51,456.08,1700.0
211.52,456.1,3257.0
211.52,456.1,2795.0
211.52,456.11,2499.0
211.53,456.11,2604.0
211.53,456.13,1126.0
211.53,456.15,1189.0
211.53,456.17,1232.0
211.54,456.19,1242.0
211.54,456.21,1263.0
211.54,456.21,1266.0
211.54,456.22,1295.0
211.54,456.25,1301.0
211.55,456.25,1324.0
211.56,456.25,1324.0
211.56,456.27,1328.0
211.56,456.27,1331.0
211.57,456.28,1332.0
211.57,456.28,1342.0
211.57,456.28,1342.0
211.57,456.28,1343.0
211.57,456.29,1352.0
211.57,456.29,1374.0
211.57,456.3,1396.0
211.57,456.32,1402.0
211.58,456.32,1409.0
211.58,456.32,1412.0
211.58,456.32,1413.0
211.58,456.33,1414.0
211.58,456.34,1418.0
211.59,456.36,1419.0
211.59,456.37,1443.0
211.59,456.37,1444.0
211.6,456.38,1451.0
211.6,456.38,1451.0
211.6,456.39,1460.0
211.6,456.4,1461.0
211.6,456.4,1462.0
211.6,456.42,1463.0
211.61,456.43,1464.0
211.61,456.44,1471.0
211.61,456.44,1471.0
211.61,456.44,1473.0
211.61,456.46,1478.0
211.61,456.47,1511.0
211.62,456.47,1587.0
211.62,456.48,1588.0
211.62,456.49,1600.0
211.63,456.52,1609.0
211.63,456.53,1617.0
211.63,456.53,1638.0
211.64,456.53,1652.0
211.64,456.54,1656.0
211.64,456.55,1661.0
211.64,456.55,1670.0
211.64,456.55,1670.0
211.65,456.56,1676.0
211.65,456.58,1691.0
211.66,456.58,1707.0
211.66,456.59,1712.0
211.67,456.59,1741.0
211.67,456.6,1744.0
211.67,456.6,1750.0
211.68,456.61,1752.0
211.68,456.62,1760.0
211.68,456.62,1765.0
211.69,456.63,1772.0
211.69,456.64,1790.0
211.7,456.66,1795.0
211.7,456.66,1796.0
211.7,456.68,1809.0
211.7,456.68,1820.0
211.7,456.68,1825.0
211.7,456.68,1837.0
211.7,456.69,1869.0
211.71,456.69,1872.0
211.71,456.69,1874.0
211.71,456.7,1896.0
211.72,456.7,1899.0
211.72,456.71,1900.0
211.72,456.71,1913.0
211.73,456.72,1924.0
211.74,456.73,1926.0
211.74,456.74,1947.0
211.74,456.74,1962.0
211.74,456.75,1965.0
211.75,456.76,1979.0
211.75,456.76,1988.0
211.76,456.76,2004.0
211.76,456.77,2006.0
211.76,456.78,2024.0
211.76,456.78,2027.0
211.76,456.79,2028.0
211.76,456.79,2038.0
211.77,456.8,2067.0
211.77,456.81,2075.0
211.77,456.81,2095.0
211.77,456.81,2101.0
211.78,456.81,2107.0
211.78,456.82,2108.0
211.78,456.83,2136.0
211.78,456.83,2139.0
211.78,456.84,2157.0
211.79,456.84,2158.0
211.79,456.85,2162.0
211.79,456.85,2167.0
211.8,456.85,2171.0
211.8,456.87,2175.0
211.8,456.88,2182.0
211.8,456.89,2195.0
211.81,456.89,2200.0
211.81,456.89,2255.0
211.81,456.9,2255.0
211.81,456.91,2256.0
211.81,456.94,2282.0
211.81,456.95,2284.0
211.82,456.96,2285.0
211.82,456.97,2302.0
211.82,456.97,2303.0
211.83,456.98,2349.0
211.83,456.98,2379.0
211.84,456.98,2380.0
211.84,457.0,2380.0
211.85,457.01,2385.0
211.85,457.02,2420.0
211.85,457.03,2445.0
211.85,457.04,2469.0
211.86,457.05,2475.0
211.86,457.05,2506.0
211.86,457.05,2516.0
211.86,457.05,2519.0
211.87,457.08,2525.0
211.87,457.09,2534.0
211.87,457.12,2595.0
211.87,457.12,2624.0
211.87,457.12,2633.0
211.88,457.14,2659.0
211.88,457.14,2682.0
211.89,457.15,2714.0
211.89,457.15,2719.0
211.89,457.16,2750.0
211.89,457.16,2763.0
211.9,457.18,2810.0
211.9,457.18,2878.0
211.9,457.18,2893.0
211.9,457.19,2893.0
211.9,457.21,2896.0
211.9,457.22,2985.0
211.91,457.23,3038.0
211.91,457.23,3043.0
211.91,457.24,3044.0
211.91,457.27,3072.0
211.91,457.28,3073.0
211.92,457.3,3090.0
211.92,457.3,3095.0
211.92,457.31,3102.0
211.93,457.32,3107.0
211.93,457.32,3116.0
211.94,457.32,3175.0
211.94,457.33,3178.0
211.94,457.33,3193.0
211.94,457.34,3197.0
211.94,457.34,3212.0
211.94,457.35,3236.0
211.95,457.36,3237.0
211.95,457.37,3238.0
211.95,457.38,3312.0
211.95,457.39,3313.0
211.95,457.39,3324.0
211.95,457.4,3325.0
211.96,457.4,3354.0
211.96,457.4,3465.0
211.96,457.41,3466.0
211.96,457.41,3466.0
211.96,457.42,3469.0
211.96,457.43,3494.0
211.96,457.43,3497.0
211.96,457.44,3517.0
211.96,457.44,3517.0
211.97,457.46,3518.0
211.97,457.47,3527.0
211.97,457.48,3530.0
211.97,457.48,3538.0
211.97,457.49,3563.0
211.97,457.49,3564.0
211.97,457.49,3569.0
211.98,457.5,3574.0
211.98,457.5,3579.0
211.98,457.5,3584.0
211.98,457.5,3591.0
211.98,457.51,3592.0
211.99,457.51,3613.0
211.99,457.52,3613.0
212.0,457.53,3669.0
212.0,457.53,3679.0
212.0,457.56,3680.0
212.0,457.56,3762.0
212.0,457.56,3821.0
212.0,457.57,3876.0
212.01,457.57,3895.0
212.01,457.58,3906.0
212.01,457.6,4360.0
212.01,457.6,4365.0
212.01,457.62,1157.0
212.01,457.62,1161.0
212.01,457.63,1210.0
212.02,457.64,1357.0
212.02,457.64,1373.0
212.02,457.64,1413.0
212.03,457.65,1415.0
212.03,457.65,1433.0
212.03,457.65,1438.0
212.03,457.66,1518.0
212.03,457.68,1526.0
212.03,457.68,1553.0
212.03,457.68,1572.0
212.03,457.69,1593.0
212.04,457.69,1627.0
212.04,457.69,1637.0
212.04,457.69,1624.0
212.05,457.7,1684.0
212.05,457.7,1725.0
212.05,457.7,1728.0
212.06,457.7,1726.0
212.06,457.72,1761.0
212.06,457.72,1744.0
212.06,457.73,1801.0
212.06,457.73,1839.0
212.06,457.73,1848.0
212.07,457.73,1866.0
212.07,457.74,1931.0
212.08,457.74,1920.0
212.08,457.76,1969.0
212.08,457.76,1990.0
212.08,457.76,2000.0
212.09,457.76,2003.0
212.09,457.77,1989.0
212.09,457.77,2036.0
212.09,457.79,2023.0
212.1,457.8,2073.0
212.1,457.8,2086.0
212.1,457.8,2086.0
212.1,457.82,2109.0
212.1,457.84,2114.0
212.1,457.85,2110.0
212.1,457.85,2132.0
212.1,457.86,2170.0
212.1,457.89,2151.0
212.11,457.9,2156.0
212.11,457.91,2191.0
212.11,457.92,2221.0
212.12,457.93,2282.0
212.12,457.93,2368.0
212.12,457.94,2386.0
212.12,457.95,2387.0
212.13,457.95,2408.0
212.13,457.97,2496.0
212.13,457.97,2521.0
212.13,457.97,2601.0
212.13,457.97,2624.0
212.13,457.98,2658.0
212.13,457.98,2487.0
212.13,457.99,2755.0
212.13,458.0,2769.0
212.13,458.0,2787.0
212.13,458.01,2770.0
212.14,458.03,2768.0
212.14,458.03,2802.0
212.14,458.03,2809.0
212.14,458.06,2873.0
212.14,458.06,2940.0
212.15,458.07,2940.0
212.15,458.07,2949.0
212.15,458.07,2950.0
212.15,458.08,2981.0
212.15,458.08,2996.0
212.15,458.08,3037.0
212.15,458.09,3101.0
212.16,458.09,3186.0
212.16,458.1,3236.0
212.16,458.1,3307.0
212.16,458.1,3320.0
212.16,458.1,3324.0
212.16,458.11,3595.0
212.17,458.11,1454.0
212.17,458.12,1476.0
212.17,458.12,1522.0
212.17,458.14,1541.0
212.17,458.15,1556.0
212.18,458.15,1564.0
212.18,458.15,1567.0
212.18,458.15,1568.0
212.18,458.16,1584.0
212.19,458.16,1588.0
212.19,458.18,1591.0
212.19,458.18,1611.0
212.19,458.18,1675.0
212.19,458.18,1684.0
212.2,458.19,1698.0
212.2,458.19,1732.0
212.2,458.19,1733.0
212.2,458.2,1733.0
212.2,458.2,1737.0
212.2,458.21,1737.0
212.2,458.21,1749.0
212.21,458.21,1754.0
212.21,458.22,1774.0
