Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split
Gelete BURKA,5000m Women,Adidas Grand Prix,2012,Diamond League,15:02.7,3,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Werknesh KIDANE,5000m Women,Adidas Grand Prix,2012,Diamond League,15:04.6,4,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Genet YALEW,5000m Women,Adidas Grand Prix,2012,Diamond League,15:22.0,5,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Fionnuala BRITTON,5000m Women,Adidas Grand Prix,2012,Diamond League,15:33.0,6,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Emebet ANTENEH,5000m Women,Adidas Grand Prix,2012,Diamond League,15:43.7,7,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Gotytom GEBRESLASE,5000m Women,Adidas Grand Prix,2012,Diamond League,15:46.9,8,,,22,53,,PB,03:04.4,06:04.3,09:11.6,12:11.1
Alissa MCKAIG,5000m Women,Adidas Grand Prix,2012,Diamond League,15:47.7,9,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Tarah KORIR,5000m Women,Adidas Grand Prix,2012,Diamond League,16:01.9,10,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Korene HINDS,5000m Women,Adidas Grand Prix,2012,Diamond League,DNF,0,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Allie KIEFFER,5000m Women,Adidas Grand Prix,2012,Diamond League,DNF,0,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Jennifer RHINES,5000m Women,Adidas Grand Prix,2012,Diamond League,DNF,0,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Sule UTURA,5000m Women,Adidas Grand Prix,2012,Diamond League,DNF,0,,,22,53,,,03:04.4,06:04.3,09:11.6,12:11.1
Dejen GEBREMESKEL,5000m Men,Bislett Games,2012,Diamond League,12:58.9,1,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Hagos GEBRHIWET,5000m Men,Bislett Games,2012,Diamond League,12:59.0,2,,,17,43,,PB,02:33.8,05:16.5,07:51.6,10:32.5
Imane MERGA,5000m Men,Bislett Games,2012,Diamond League,12:59.8,3,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Tariku BEKELE,5000m Men,Bislett Games,2012,Diamond League,13:00.4,4,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Kenenisa BEKELE,5000m Men,Bislett Games,2012,Diamond League,13:00.5,5,,,17,43,,SB,02:33.8,05:16.5,07:51.6,10:32.5
Moses Ndiema KIPSIRO,5000m Men,Bislett Games,2012,Diamond League,13:00.7,6,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Sileshi SIHINE,5000m Men,Bislett Games,2012,Diamond League,13:01.4,7,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Yigrem DEMELASH,5000m Men,Bislett Games,2012,Diamond League,13:03.3,8,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Yenew ALAMIREW,5000m Men,Bislett Games,2012,Diamond League,13:08.1,9,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Yitayal Atnafu ZERIHUN,5000m Men,Bislett Games,2012,Diamond League,13:08.1,10,,,17,43,,PB,02:33.8,05:16.5,07:51.6,10:32.5
Emmanuel Kipkemei BETT,5000m Men,Bislett Games,2012,Diamond League,13:08.4,11,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Abera KUMA,5000m Men,Bislett Games,2012,Diamond League,13:09.3,12,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Lucas Kimeli ROTICH,5000m Men,Bislett Games,2012,Diamond League,13:09.6,13,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Arne GABIUS,5000m Men,Bislett Games,2012,Diamond League,13:13.4,14,,,17,43,,PB,02:33.8,05:16.5,07:51.6,10:32.5
Teklemariam MEDHIN,5000m Men,Bislett Games,2012,Diamond League,13:17.2,15,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Adrian BLINCOE,5000m Men,Bislett Games,2012,Diamond League,13:26.4,16,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
James Kwalia C'KURUI,5000m Men,Bislett Games,2012,Diamond League,13:31.6,17,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Elroy GELANT,5000m Men,Bislett Games,2012,Diamond League,13:32.2,18,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Sindre BURAAS,5000m Men,Bislett Games,2012,Diamond League,13:39.8,19,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Remmy Limo NDIWA,5000m Men,Bislett Games,2012,Diamond League,DNF,0,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Vincent RONO,5000m Men,Bislett Games,2012,Diamond League,DNF,0,,,17,43,,,02:33.8,05:16.5,07:51.6,10:32.5
Dejen GEBREMESKEL,5000m Men,Meeting de Paris,2012,Diamond League,12:46.8,1,,,20,58,,WL,02:32.7,05:09.7,07:43.5,10:19.5
Isiah Kiplangat KOECH,5000m Men,Meeting de Paris,2012,Diamond League,12:48.6,3,,,20,58,,PB,02:32.7,05:09.7,07:43.5,10:19.5
Yenew ALAMIREW,5000m Men,Meeting de Paris,2012,Diamond League,12:48.8,4,,,20,58,,PB,02:32.7,05:09.7,07:43.5,10:19.5
Thomas Pkemei LONGOSIWA,5000m Men,Meeting de Paris,2012,Diamond League,12:49.0,5,,,20,58,,PB,02:32.7,05:09.7,07:43.5,10:19.5
John KIPKOECH,5000m Men,Meeting de Paris,2012,Diamond League,12:49.5,6,,,20,58,,PB,02:32.7,05:09.7,07:43.5,10:19.5
Tariku BEKELE,5000m Men,Meeting de Paris,2012,Diamond League,12:54.1,7,,,20,58,,SB,02:32.7,05:09.7,07:43.5,10:19.5
Eliud KIPCHOGE,5000m Men,Meeting de Paris,2012,Diamond League,12:55.3,8,,,20,58,,SB,02:32.7,05:09.7,07:43.5,10:19.5
Kenenisa BEKELE,5000m Men,Meeting de Paris,2012,Diamond League,12:55.8,9,,,20,58,,SB,02:32.7,05:09.7,07:43.5,10:19.5
Edwin Cheruiyot SOI,5000m Men,Meeting de Paris,2012,Diamond League,12:56.0,10,,,20,58,,SB,02:32.7,05:09.7,07:43.5,10:19.5
Moses Ndiema MASAI,5000m Men,Meeting de Paris,2012,Diamond League,12:59.2,11,,,20,58,,,02:32.7,05:09.7,07:43.5,10:19.5
Muktar EDRIS,5000m Men,Meeting de Paris,2012,Diamond League,13:04.3,12,,,20,58,,PB,02:32.7,05:09.7,07:43.5,10:19.5
Mark Kosgei KIPTOO,5000m Men,Meeting de Paris,2012,Diamond League,13:06.2,13,,,20,58,,SB,02:32.7,05:09.7,07:43.5,10:19.5
Hassan HIRT,5000m Men,Meeting de Paris,2012,Diamond League,13:10.7,14,,,20,58,,PB,02:32.7,05:09.7,07:43.5,10:19.5
Yohan DURAND,5000m Men,Meeting de Paris,2012,Diamond League,13:32.2,15,,,20,58,,,02:32.7,05:09.7,07:43.5,10:19.5
Vincent Kiprop CHEPKOK,5000m Men,Meeting de Paris,2012,Diamond League,DNF,0,,,20,58,,,02:32.7,05:09.7,07:43.5,10:19.5
Gideon GATHIMBA,5000m Men,Meeting de Paris,2012,Diamond League,DNF,0,,,20,58,,,02:32.7,05:09.7,07:43.5,10:19.5
Imane MERGA,5000m Men,Meeting de Paris,2012,Diamond League,DNF,0,,,20,58,,,02:32.7,05:09.7,07:43.5,10:19.5
Remmy Limo NDIWA,5000m Men,Meeting de Paris,2012,Diamond League,DNF,0,,,20,58,,,02:32.7,05:09.7,07:43.5,10:19.5
Vivian Jepkemoi CHERUIYOT,5000m Women,Golden Gala,2012,Diamond League,14:35.6,1,,,23,56,,WL,02:53.9,05:50.5,08:49.6,11:50.3
Meseret DEFAR,5000m Women,Golden Gala,2012,Diamond League,14:35.7,2,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Viola Jelagat KIBIWOT,5000m Women,Golden Gala,2012,Diamond League,14:39.5,3,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Gelete BURKA,5000m Women,Golden Gala,2012,Diamond League,14:41.4,4,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Veronica NYARUAI,5000m Women,Golden Gala,2012,Diamond League,14:44.8,5,,,23,56,,PB,02:53.9,05:50.5,08:49.6,11:50.3
Sylvia Jebiwot KIBET,5000m Women,Golden Gala,2012,Diamond League,14:46.7,6,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Genet YALEW,5000m Women,Golden Gala,2012,Diamond League,14:48.4,7,,,23,56,,PB,02:53.9,05:50.5,08:49.6,11:50.3
Azemra GEBRU,5000m Women,Golden Gala,2012,Diamond League,14:58.2,8,,,23,56,,PB,02:53.9,05:50.5,08:49.6,11:50.3
Waganesh MEKASHA,5000m Women,Golden Gala,2012,Diamond League,15:07.4,9,,,23,56,,PB,02:53.9,05:50.5,08:49.6,11:50.3
Joanne PAVEY,5000m Women,Golden Gala,2012,Diamond League,15:09.5,10,,,23,56,,SB,02:53.9,05:50.5,08:49.6,11:50.3
Mercy CHERONO,5000m Women,Golden Gala,2012,Diamond League,15:17.7,11,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Silvia WEISSTEINER,5000m Women,Golden Gala,2012,Diamond League,15:18.0,12,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Elena ROMAGNOLO,5000m Women,Golden Gala,2012,Diamond League,15:19.8,13,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Zipora WANJIRU,5000m Women,Golden Gala,2012,Diamond League,16:24.7,14,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Sonja ROMAN,5000m Women,Golden Gala,2012,Diamond League,DNF,0,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Svitlana SHMIDT,5000m Women,Golden Gala,2012,Diamond League,DNF,0,,,23,56,,,02:53.9,05:50.5,08:49.6,11:50.3
Hagos GEBRHIWET,5000m Men,Diamond League Shanghai,2012,Diamond League,13:11.0,1,,,17,70,,WL|MR,02:37.4,05:18.2,07:57.7,10:42.0
Thomas Pkemei LONGOSIWA,5000m Men,Diamond League Shanghai,2012,Diamond League,13:11.7,2,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
John KIPKOECH,5000m Men,Diamond League Shanghai,2012,Diamond League,13:12.7,3,,,17,70,,PB,02:37.4,05:18.2,07:57.7,10:42.0
Vincent Kiprop CHEPKOK,5000m Men,Diamond League Shanghai,2012,Diamond League,13:13.2,4,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Kenenisa BEKELE,5000m Men,Diamond League Shanghai,2012,Diamond League,13:13.9,5,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Yenew ALAMIREW,5000m Men,Diamond League Shanghai,2012,Diamond League,13:14.3,6,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Augustine Kiprono CHOGE,5000m Men,Diamond League Shanghai,2012,Diamond League,13:15.5,7,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Sammy Alex MUTAHI,5000m Men,Diamond League Shanghai,2012,Diamond League,13:16.2,8,,,17,70,,SB,02:37.4,05:18.2,07:57.7,10:42.0
Abrar Osman ADEM,5000m Men,Diamond League Shanghai,2012,Diamond League,13:17.3,9,,,17,70,,PB,02:37.4,05:18.2,07:57.7,10:42.0
Mosinet GEREMEW,5000m Men,Diamond League Shanghai,2012,Diamond League,13:17.4,10,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Vincent YATOR,5000m Men,Diamond League Shanghai,2012,Diamond League,13:18.5,11,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Albert ROP,5000m Men,Diamond League Shanghai,2012,Diamond League,13:20.3,12,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Yitayal Atnafu ZERIHUN,5000m Men,Diamond League Shanghai,2012,Diamond League,13:21.3,13,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Daniel Lemashon SALEL,5000m Men,Diamond League Shanghai,2012,Diamond League,13:21.3,14,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Jacob CHESHARI,5000m Men,Diamond League Shanghai,2012,Diamond League,13:29.3,15,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Geoffrey Kipkoech RONO,5000m Men,Diamond League Shanghai,2012,Diamond League,DNF,0,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Vincent RONO,5000m Men,Diamond League Shanghai,2012,Diamond League,DNF,0,,,17,70,,,02:37.4,05:18.2,07:57.7,10:42.0
Isiah Kiplangat KOECH,5000m Men,Weltklasse Zurich,2012,Diamond League,12:59.0,1,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Thomas Pkemei LONGOSIWA,5000m Men,Weltklasse Zurich,2012,Diamond League,12:59.2,2,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Bernard LAGAT,5000m Men,Weltklasse Zurich,2012,Diamond League,12:59.9,3,,,14,100,,SB,02:35.9,05:14.2,07:52.7,10:27.8
Dejen GEBREMESKEL,5000m Men,Weltklasse Zurich,2012,Diamond League,13:00.8,4,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
John KIPKOECH,5000m Men,Weltklasse Zurich,2012,Diamond League,13:02.1,5,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Tariku BEKELE,5000m Men,Weltklasse Zurich,2012,Diamond League,13:02.6,6,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Yigrem DEMELASH,5000m Men,Weltklasse Zurich,2012,Diamond League,13:04.1,7,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Imane MERGA,5000m Men,Weltklasse Zurich,2012,Diamond League,13:07.2,8,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Galen RUPP,5000m Men,Weltklasse Zurich,2012,Diamond League,13:09.5,9,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Yenew ALAMIREW,5000m Men,Weltklasse Zurich,2012,Diamond League,13:09.7,10,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Moses Ndiema MASAI,5000m Men,Weltklasse Zurich,2012,Diamond League,13:09.9,11,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Edwin Cheruiyot SOI,5000m Men,Weltklasse Zurich,2012,Diamond League,13:19.8,12,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Mark Kosgei KIPTOO,5000m Men,Weltklasse Zurich,2012,Diamond League,13:19.9,13,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Moses Ndiema KIPSIRO,5000m Men,Weltklasse Zurich,2012,Diamond League,13:20.2,14,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Yitayal Atnafu ZERIHUN,5000m Men,Weltklasse Zurich,2012,Diamond League,13:27.6,15,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Collis BIRMINGHAM,5000m Men,Weltklasse Zurich,2012,Diamond League,13:28.0,16,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Lopez LOMONG,5000m Men,Weltklasse Zurich,2012,Diamond League,13:35.5,17,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Collins CHEBOI,5000m Men,Weltklasse Zurich,2012,Diamond League,DNF,0,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Vincent Kiprop CHEPKOK,5000m Men,Weltklasse Zurich,2012,Diamond League,DNF,0,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Arne GABIUS,5000m Men,Weltklasse Zurich,2012,Diamond League,DNF,0,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Gideon GATHIMBA,5000m Men,Weltklasse Zurich,2012,Diamond League,DNF,0,,,14,100,,,02:35.9,05:14.2,07:52.7,10:27.8
Mohamed FARAH,5000m Men,British Grand Prix,2013,Diamond League,13:14.2,1,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Yenew ALAMIREW,5000m Men,British Grand Prix,2013,Diamond League,13:14.7,2,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Hagos GEBRHIWET,5000m Men,British Grand Prix,2013,Diamond League,13:17.1,3,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Ibrahim JEILAN,5000m Men,British Grand Prix,2013,Diamond League,13:19.9,4,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Mark Kosgei KIPTOO,5000m Men,British Grand Prix,2013,Diamond League,13:20.5,5,,,20,58,,SB,02:36.9,05:15.4,07:59.1,10:51.4
Moses Ndiema KIPSIRO,5000m Men,British Grand Prix,2013,Diamond League,13:23.0,6,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Chris THOMPSON,5000m Men,British Grand Prix,2013,Diamond League,13:24.1,7,,,20,58,,SB,02:36.9,05:15.4,07:59.1,10:51.4
Collis BIRMINGHAM,5000m Men,British Grand Prix,2013,Diamond League,13:29.5,8,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Abrar Osman ADEM,5000m Men,British Grand Prix,2013,Diamond League,13:29.7,9,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Yigrem DEMELASH,5000m Men,British Grand Prix,2013,Diamond League,13:29.8,10,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Mike Kipruto KIGEN,5000m Men,British Grand Prix,2013,Diamond League,13:36.5,11,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Vincent Kiprop CHEPKOK,5000m Men,British Grand Prix,2013,Diamond League,13:39.4,12,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Thomas FARRELL,5000m Men,British Grand Prix,2013,Diamond League,13:46.6,13,,,20,58,,SB,02:36.9,05:15.4,07:59.1,10:51.4
Arne GABIUS,5000m Men,British Grand Prix,2013,Diamond League,DNF,0,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Gideon GATHIMBA,5000m Men,British Grand Prix,2013,Diamond League,DNF,0,,,20,58,,,02:36.9,05:15.4,07:59.1,10:51.4
Yenew ALAMIREW,5000m Men,Memorial Van Damme,2013,Diamond League,12:58.7,1,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Bernard LAGAT,5000m Men,Memorial Van Damme,2013,Diamond League,12:59.0,2,,,21,56,,SB,02:35.1,05:13.2,07:52.0,10:28.9
Hagos GEBRHIWET,5000m Men,Memorial Van Damme,2013,Diamond League,12:59.3,3,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Edwin Cheruiyot SOI,5000m Men,Memorial Van Damme,2013,Diamond League,13:01.0,4,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Galen RUPP,5000m Men,Memorial Van Damme,2013,Diamond League,13:01.4,5,,,21,56,,SB,02:35.1,05:13.2,07:52.0,10:28.9
Thomas Pkemei LONGOSIWA,5000m Men,Memorial Van Damme,2013,Diamond League,13:01.7,6,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Albert ROP,5000m Men,Memorial Van Damme,2013,Diamond League,13:02.3,7,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Evan JAGER,5000m Men,Memorial Van Damme,2013,Diamond League,13:02.4,8,,,21,56,,PB,02:35.1,05:13.2,07:52.0,10:28.9
Isiah Kiplangat KOECH,5000m Men,Memorial Van Damme,2013,Diamond League,13:04.0,9,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Muktar EDRIS,5000m Men,Memorial Van Damme,2013,Diamond League,13:06.4,10,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Chris DERRICK,5000m Men,Memorial Van Damme,2013,Diamond League,13:08.0,11,,,21,56,,PB,02:35.1,05:13.2,07:52.0,10:28.9
Ben ST. LAWRENCE,5000m Men,Memorial Van Damme,2013,Diamond League,13:23.9,12,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Faisa Dame TASAMA,5000m Men,Memorial Van Damme,2013,Diamond League,13:33.1,13,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Abdelhadi EL HACHIMI,5000m Men,Memorial Van Damme,2013,Diamond League,13:35.0,14,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Ryan HILL,5000m Men,Memorial Van Damme,2013,Diamond League,13:43.1,15,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Collis BIRMINGHAM,5000m Men,Memorial Van Damme,2013,Diamond League,13:44.3,16,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Garrett HEATH,5000m Men,Memorial Van Damme,2013,Diamond League,DNF,0,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Vincent RONO,5000m Men,Memorial Van Damme,2013,Diamond League,DNF,0,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Bouabdellah TAHRI,5000m Men,Memorial Van Damme,2013,Diamond League,DNF,0,,,21,56,,,02:35.1,05:13.2,07:52.0,10:28.9
Edwin Cheruiyot SOI,5000m Men,Prefontaine Classic,2013,Diamond League,13:04.8,1,,,24,43,,WL,02:36.3,05:15.8,07:55.3,10:38.7
Mohamed FARAH,5000m Men,Prefontaine Classic,2013,Diamond League,13:05.9,2,,,24,43,,SB,02:36.3,05:15.8,07:55.3,10:38.7
Yenew ALAMIREW,5000m Men,Prefontaine Classic,2013,Diamond League,13:06.5,3,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Thomas Pkemei LONGOSIWA,5000m Men,Prefontaine Classic,2013,Diamond League,13:07.5,4,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Bernard LAGAT,5000m Men,Prefontaine Classic,2013,Diamond League,13:07.8,5,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Galen RUPP,5000m Men,Prefontaine Classic,2013,Diamond League,13:08.7,6,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Chris DERRICK,5000m Men,Prefontaine Classic,2013,Diamond League,13:09.0,7,,,24,43,,PB,02:36.3,05:15.8,07:55.3,10:38.7
Ibrahim JEILAN,5000m Men,Prefontaine Classic,2013,Diamond League,13:09.2,8,,,24,43,,PB,02:36.3,05:15.8,07:55.3,10:38.7
Dathan RITZENHEIN,5000m Men,Prefontaine Classic,2013,Diamond League,13:09.5,9,,,24,43,,SB,02:36.3,05:15.8,07:55.3,10:38.7
Isiah Kiplangat KOECH,5000m Men,Prefontaine Classic,2013,Diamond League,13:09.6,10,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
John KIPKOECH,5000m Men,Prefontaine Classic,2013,Diamond League,13:13.1,11,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Kenneth Kiprop KIPKEMOI,5000m Men,Prefontaine Classic,2013,Diamond League,13:13.9,12,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Cameron LEVINS,5000m Men,Prefontaine Classic,2013,Diamond League,13:15.2,13,,,24,43,,PB,02:36.3,05:15.8,07:55.3,10:38.7
Geoffrey KIRUI,5000m Men,Prefontaine Classic,2013,Diamond League,13:16.7,14,,,24,43,,PB,02:36.3,05:15.8,07:55.3,10:38.7
Albert ROP,5000m Men,Prefontaine Classic,2013,Diamond League,13:21.2,15,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Hayle IBRAHIMOV,5000m Men,Prefontaine Classic,2013,Diamond League,13:23.6,16,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Hassan MEAD,5000m Men,Prefontaine Classic,2013,Diamond League,13:32.7,17,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Mark Kosgei KIPTOO,5000m Men,Prefontaine Classic,2013,Diamond League,13:38.4,18,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Collis BIRMINGHAM,5000m Men,Prefontaine Classic,2013,Diamond League,13:44.4,19,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Chris THOMPSON,5000m Men,Prefontaine Classic,2013,Diamond League,14:02.4,20,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Gideon GATHIMBA,5000m Men,Prefontaine Classic,2013,Diamond League,DNF,0,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Garrett HEATH,5000m Men,Prefontaine Classic,2013,Diamond League,DNF,0,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Nouredine SMAIL,5000m Men,Prefontaine Classic,2013,Diamond League,DNF,0,,,24,43,,,02:36.3,05:15.8,07:55.3,10:38.7
Tirunesh DIBABA,5000m Women,Prefontaine Classic,2013,Diamond League,14:42.0,1,,,21,49,,WL,02:52.2,05:48.4,08:49.3,11:56.2
Mercy CHERONO,5000m Women,Prefontaine Classic,2013,Diamond League,14:42.5,2,,,21,49,,SB,02:52.2,05:48.4,08:49.3,11:56.2
Margaret Wangari MURIUKI,5000m Women,Prefontaine Classic,2013,Diamond League,14:43.7,3,,,21,49,,PB,02:52.2,05:48.4,08:49.3,11:56.2
Buze DIRIBA,5000m Women,Prefontaine Classic,2013,Diamond League,14:51.2,4,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Gelete BURKA,5000m Women,Prefontaine Classic,2013,Diamond League,14:52.9,5,,,21,49,,SB,02:52.2,05:48.4,08:49.3,11:56.2
Hiwot AYALEW,5000m Women,Prefontaine Classic,2013,Diamond League,14:57.0,6,,,21,49,,PB,02:52.2,05:48.4,08:49.3,11:56.2
Belaynesh OLJIRA,5000m Women,Prefontaine Classic,2013,Diamond League,15:01.5,7,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Linet Chepkwemoi MASAI,5000m Women,Prefontaine Classic,2013,Diamond League,15:03.0,8,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Kim CONLEY,5000m Women,Prefontaine Classic,2013,Diamond League,15:09.6,9,,,21,49,,PB,02:52.2,05:48.4,08:49.3,11:56.2
Sule UTURA,5000m Women,Prefontaine Classic,2013,Diamond League,15:17.3,10,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Shannon ROWBURY,5000m Women,Prefontaine Classic,2013,Diamond League,15:18.1,11,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Caroline Chepkoech KIPKIRUI,5000m Women,Prefontaine Classic,2013,Diamond League,15:37.1,12,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Julia LUCAS,5000m Women,Prefontaine Classic,2013,Diamond League,15:43.6,13,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Alexi PAPPAS,5000m Women,Prefontaine Classic,2013,Diamond League,DNF,0,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Sara VAUGHN,5000m Women,Prefontaine Classic,2013,Diamond League,DNF,0,,,21,49,,,02:52.2,05:48.4,08:49.3,11:56.2
Yenew ALAMIREW,5000m Men,Athletissima,2013,Diamond League,13:06.7,1,,,20,62,,,02:34.5,,07:53.6,10:36.0
Hagos GEBRHIWET,5000m Men,Athletissima,2013,Diamond League,13:07.1,2,,,20,62,,,02:34.5,,07:53.6,10:36.0
Muktar EDRIS,5000m Men,Athletissima,2013,Diamond League,13:08.2,3,,,20,62,,,02:34.5,,07:53.6,10:36.0
Moses Ndiema KIPSIRO,5000m Men,Athletissima,2013,Diamond League,13:11.6,4,,,20,62,,SB,02:34.5,,07:53.6,10:36.0
Tariku BEKELE,5000m Men,Athletissima,2013,Diamond League,13:13.6,6,,,20,62,,,02:34.5,,07:53.6,10:36.0
